,rank,finalWorth,age,industries,selfMade,gender,birthDate,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
19,20,57600,78.0,Fashion & Retail,False,M,1944-10-27 00:00:00,1944.0,10.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
20,21,56700,73.0,Fashion & Retail,False,F,1949-10-07 00:00:00,1949.0,10.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
21,22,54400,65.0,Media & Entertainment,False,M,1957-06-12 00:00:00,1957.0,6.0,12.0,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
22,23,50100,58.0,Technology,True,M,1965-02-23 00:00:00,1965.0,2.0,23.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
23,24,47200,60.0,Diversified,True,M,1962-06-24 00:00:00,1962.0,6.0,24.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
24,25,45100,85.0,Fashion & Retail,True,M,1938-02-24 00:00:00,1938.0,2.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
25,26,45000,39.0,Technology,True,M,1984-01-01 00:00:00,1984.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
26,27,42900,83.0,Fashion & Retail,False,M,1939-09-24 00:00:00,1939.0,9.0,24.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
27,28,40100,86.0,Fashion & Retail,True,M,1936-08-21 00:00:00,1936.0,8.0,21.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
28,29,39100,85.0,Logistics,False,M,1937-06-02 00:00:00,1937.0,6.0,2.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
29,30,38900,58.0,Food & Beverage,False,M,1964-09-21 00:00:00,1964.0,9.0,21.0,117.11,1.4,529606710418,79.7,103.9,81.6,24.0,55.4,11484055.0,50.503887,4.469936
30,31,38300,83.0,Food & Beverage,False,F,1939-10-10 00:00:00,1939.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
31,31,38300,87.0,Food & Beverage,False,M,1935-10-15 00:00:00,1935.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
33,34,35300,51.0,Technology,True,M,1971-10-29 00:00:00,1971.0,10.0,29.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
34,35,35000,77.0,Gambling & Casinos,False,F,1945-10-10 00:00:00,1945.0,10.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
35,35,35000,54.0,Finance & Investments,True,M,1968-10-15 00:00:00,1968.0,10.0,15.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
36,37,34700,30.0,Food & Beverage,False,M,1992-05-07 00:00:00,1992.0,5.0,7.0,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
37,38,33400,54.0,Automotive,True,M,1969-01-01 00:00:00,1969.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
38,39,32600,74.0,Fashion & Retail,True,M,1949-02-07 00:00:00,1949.0,2.0,7.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
39,40,32100,65.0,Diversified,True,M,1957-06-01 00:00:00,1957.0,6.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
40,41,31600,74.0,Fashion & Retail,False,M,1948-08-28 00:00:00,1948.0,8.0,28.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
41,41,31600,72.0,Fashion & Retail,False,M,1951-01-09 00:00:00,1951.0,1.0,9.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
42,43,31200,82.0,Logistics,True,M,1940-06-27 00:00:00,1940.0,6.0,27.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
43,43,31200,78.0,Logistics,True,F,1945-03-26 00:00:00,1945.0,3.0,26.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
44,45,30200,43.0,Technology,True,M,1980-02-02 00:00:00,1980.0,2.0,2.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
45,46,29700,87.0,Manufacturing,True,M,1935-04-20 00:00:00,1935.0,4.0,20.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
47,48,28500,64.0,Finance & Investments,True,M,1958-07-17 00:00:00,1958.0,7.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
48,49,28100,84.0,Finance & Investments,True,M,1938-04-25 00:00:00,1938.0,4.0,25.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
49,50,27800,76.0,Finance & Investments,True,M,1947-02-14 00:00:00,1947.0,2.0,14.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
50,51,27400,60.0,Automotive,False,F,1962-04-28 00:00:00,1962.0,4.0,28.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
51,52,27000,69.0,Metals & Mining,False,F,1954-02-09 00:00:00,1954.0,2.0,9.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
52,53,26700,51.0,Technology,True,M,1971-10-01 00:00:00,1971.0,10.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
53,54,26600,69.0,Metals & Mining,False,M,1953-10-26 00:00:00,1953.0,10.0,26.0,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784
54,55,25600,77.0,Technology,True,M,1945-07-18 00:00:00,1945.0,7.0,18.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
55,56,25500,74.0,Energy,True,M,1948-04-17 00:00:00,1948.0,4.0,17.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
56,57,25300,78.0,Finance & Investments,True,M,1944-09-30 00:00:00,1944.0,9.0,30.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
57,58,25200,51.0,Metals & Mining,True,M,1972-03-08 00:00:00,1972.0,3.0,8.0,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
58,59,24600,56.0,Automotive,False,M,1966-05-09 00:00:00,1966.0,5.0,9.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
59,60,24400,52.0,Technology,False,F,1970-04-07 00:00:00,1970.0,4.0,7.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
60,61,24200,82.0,Finance & Investments,False,M,1941-01-01 00:00:00,1941.0,1.0,1.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
61,62,23700,62.0,Metals & Mining,True,M,1961-01-03 00:00:00,1961.0,1.0,3.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
62,63,23500,58.0,Technology,True,M,1964-09-10 00:00:00,1964.0,9.0,10.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
63,64,23400,80.0,Manufacturing,True,M,1942-08-11 00:00:00,1942.0,8.0,11.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
64,65,23100,80.0,Metals & Mining,False,F,1943-01-01 00:00:00,1943.0,1.0,1.0,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038.0,-35.675147,-71.542969
65,65,23100,83.0,Manufacturing,False,M,1939-10-02 00:00:00,1939.0,10.0,2.0,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917.0,-0.789275,113.921327
66,67,22900,70.0,Manufacturing,True,M,1953-01-01 00:00:00,1953.0,1.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
67,68,22600,81.0,Healthcare,False,M,1941-05-11 00:00:00,1941.0,5.0,11.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
68,69,22400,65.0,Telecom,True,M,1957-08-11 00:00:00,1957.0,8.0,11.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
69,70,22100,66.0,Metals & Mining,True,M,1956-05-07 00:00:00,1956.0,5.0,7.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
70,71,22000,52.0,Food & Beverage,False,M,1970-09-18 00:00:00,1970.0,9.0,18.0,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
71,72,21600,61.0,Finance & Investments,False,F,1961-12-19 00:00:00,1961.0,12.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
72,72,21600,67.0,Energy,True,M,1955-08-11 00:00:00,1955.0,8.0,11.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
73,74,21200,36.0,Fashion & Retail,False,M,1986-09-19 00:00:00,1986.0,9.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
74,74,21200,52.0,Service,True,M,1970-10-01 00:00:00,1970.0,10.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
75,76,21100,60.0,Technology,True,M,1963-02-17 00:00:00,1963.0,2.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
76,77,21000,90.0,Fashion & Retail,False,M,1933-03-19 00:00:00,1933.0,3.0,19.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
77,77,21000,77.0,Manufacturing,True,M,1945-06-10 00:00:00,1945.0,6.0,10.0,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568.0,36.204824,138.252924
78,79,20900,57.0,Metals & Mining,True,M,1965-09-26 00:00:00,1965.0,9.0,26.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
79,80,20500,72.0,Energy,True,M,1950-09-01 00:00:00,1950.0,9.0,1.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
80,81,20200,84.0,Healthcare,True,M,1938-08-12 00:00:00,1938.0,8.0,12.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
81,82,19600,61.0,Metals & Mining,True,M,1961-11-18 00:00:00,1961.0,11.0,18.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
82,83,19100,73.0,Finance & Investments,True,M,1949-08-08 00:00:00,1949.0,8.0,8.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
83,84,19000,59.0,Automotive,True,M,1963-06-01 00:00:00,1963.0,6.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
84,84,19000,55.0,Metals & Mining,True,M,1968-03-01 00:00:00,1968.0,3.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
86,86,18900,57.0,Food & Beverage,True,M,1965-04-17 00:00:00,1965.0,4.0,17.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
87,88,18700,57.0,Automotive,True,M,1966-02-15 00:00:00,1966.0,2.0,15.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
88,89,18500,77.0,Energy,True,M,1945-12-11 00:00:00,1945.0,12.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
89,89,18500,65.0,Finance & Investments,True,M,1957-09-11 00:00:00,1957.0,9.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
90,89,18500,70.0,Energy,True,M,1952-11-09 00:00:00,1952.0,11.0,9.0,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
91,92,18000,61.0,Finance & Investments,True,M,1962-01-17 00:00:00,1962.0,1.0,17.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
92,93,17700,72.0,Metals & Mining,False,M,1950-06-15 00:00:00,1950.0,6.0,15.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
93,94,17500,66.0,Finance & Investments,True,M,1956-06-11 00:00:00,1956.0,6.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
94,94,17500,87.0,Finance & Investments,True,M,1936-02-16 00:00:00,1936.0,2.0,16.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
95,94,17500,73.0,Metals & Mining,False,F,1950-03-20 00:00:00,1950.0,3.0,20.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
96,97,17400,90.0,Real Estate,True,M,1932-05-11 00:00:00,1932.0,5.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
97,97,17400,83.0,Fashion & Retail,True,M,1940-01-22 00:00:00,1940.0,1.0,22.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
98,99,17100,92.0,Media & Entertainment,False,M,1931-03-11 00:00:00,1931.0,3.0,11.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
99,100,16700,70.0,Finance & Investments,False,F,1953-01-01 00:00:00,1953.0,1.0,1.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
100,101,16500,72.0,Fashion & Retail,False,M,1951-01-01 00:00:00,1951.0,1.0,1.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
101,101,16500,55.0,Finance & Investments,False,F,1967-07-04 00:00:00,1967.0,7.0,4.0,116.48,2.8,246489245495,64.1,100.7,79.0,14.9,46.1,10669709.0,49.817492,15.472962
102,103,16300,72.0,Healthcare,True,M,1951-01-01 00:00:00,1951.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
103,104,16200,75.0,Fashion & Retail,False,M,1947-10-04 00:00:00,1947.0,10.0,4.0,110.51,1.8,530832908738,67.0,126.6,82.5,27.9,49.1,10285453.0,60.128161,18.643501
104,104,16200,67.0,Technology,True,M,1955-04-27 00:00:00,1955.0,4.0,27.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
105,106,16000,55.0,Finance & Investments,True,M,1968-03-18 00:00:00,1968.0,3.0,18.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
106,107,15900,67.0,Food & Beverage,True,M,1956-01-19 00:00:00,1956.0,1.0,19.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
109,108,15800,83.0,Food & Beverage,True,M,1939-08-26 00:00:00,1939.0,8.0,26.0,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
111,112,15600,67.0,Healthcare,True,M,1955-10-01 00:00:00,1955.0,10.0,1.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
112,113,15500,45.0,Technology,True,M,1978-03-10 00:00:00,1978.0,3.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
113,114,15300,68.0,Fashion & Retail,True,M,1955-01-01 00:00:00,1955.0,1.0,1.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
114,115,15200,56.0,Automotive,True,M,1967-01-01 00:00:00,1967.0,1.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
115,116,14900,83.0,Diversified,False,M,1939-04-19 00:00:00,1939.0,4.0,19.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
116,116,14900,81.0,Fashion & Retail,True,M,1941-11-13 00:00:00,1941.0,11.0,13.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
117,118,14800,78.0,Food & Beverage,True,M,1944-05-02 00:00:00,1944.0,5.0,2.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
118,119,14700,68.0,Food & Beverage,False,F,1954-06-30 00:00:00,1954.0,6.0,30.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
119,120,14600,60.0,Healthcare,True,M,1962-05-22 00:00:00,1962.0,5.0,22.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
120,121,14500,59.0,Automotive,True,M,1964-03-01 00:00:00,1964.0,3.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
121,122,14400,69.0,Metals & Mining,True,M,1953-09-09 00:00:00,1953.0,9.0,9.0,,,57921286440,10.1,104.2,71.6,14.8,31.6,33580650.0,41.377491,64.585262
122,123,14300,95.0,Manufacturing,True,M,1927-06-27 00:00:00,1927.0,6.0,27.0,114.41,0.6,372062527489,84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
123,124,14200,55.0,Diversified,False,M,1967-06-14 00:00:00,1967.0,6.0,14.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
124,124,14200,65.0,Manufacturing,True,M,1957-04-10 00:00:00,1957.0,4.0,10.0,267.51,11.4,448120428859,10.2,84.7,54.3,1.5,34.8,200963599.0,9.081999,8.675277
126,127,14000,67.0,Diversified,False,M,1955-10-02 00:00:00,1955.0,10.0,2.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
127,128,13900,57.0,Healthcare,True,M,1965-09-01 00:00:00,1965.0,9.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
129,130,13700,78.0,Logistics,True,M,1945-02-01 00:00:00,1945.0,2.0,1.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
130,130,13700,76.0,Construction & Engineering,True,F,1947-03-02 00:00:00,1947.0,3.0,2.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
131,130,13700,47.0,Technology,True,M,1976-02-24 00:00:00,1976.0,2.0,24.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
132,133,13300,80.0,Sports,True,M,1942-10-13 00:00:00,1942.0,10.0,13.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
133,133,13300,80.0,Energy,False,M,1942-07-29 00:00:00,1942.0,7.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
135,136,13200,60.0,Automotive,True,M,1962-12-28 00:00:00,1962.0,12.0,28.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
136,137,13100,90.0,Real Estate,True,M,1933-03-03 00:00:00,1933.0,3.0,3.0,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605.0,-25.274398,133.775136
137,138,12900,64.0,Finance & Investments,True,M,1959-03-15 00:00:00,1959.0,3.0,15.0,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
138,138,12900,75.0,Sports,True,M,1947-07-29 00:00:00,1947.0,7.0,29.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
139,140,12600,58.0,Energy,True,M,1964-04-21 00:00:00,1964.0,4.0,21.0,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
140,141,12300,57.0,Energy,True,M,1965-07-12 00:00:00,1965.0,7.0,12.0,113.27,0.7,543649976166,49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
141,142,12200,50.0,Metals & Mining,True,M,1973-02-01 00:00:00,1973.0,2.0,1.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
142,142,12200,69.0,Healthcare,True,M,1953-10-08 00:00:00,1953.0,10.0,8.0,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
143,144,12100,72.0,Automotive,True,M,1950-07-18 00:00:00,1950.0,7.0,18.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
144,145,12000,59.0,Technology,False,F,1963-11-06 00:00:00,1963.0,11.0,6.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
146,147,11600,82.0,Real Estate,True,M,1940-05-10 00:00:00,1940.0,5.0,10.0,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
147,148,11500,38.0,Technology,True,M,1984-10-10 00:00:00,1984.0,10.0,10.0,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
148,148,11500,73.0,Healthcare,True,M,1950-02-16 00:00:00,1950.0,2.0,16.0,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
